Rank,IMDB Rating,Director,Metascore,Release Year,Duration
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Stanley Kubrick,97,1964,1h 35m
238. Amores perros,8.1,Alejandro G. Iñárritu,83,2000,2h 34m
179. Bacheha-Ye aseman,8.2,Majid Majidi,77,1997,1h 29m
Top 250 TV Shows,,N/A,N/A,N/A,N/A
Top Rated English Movies,N/A,N/A,N/A,N/A,N/A
157. Chinatown,8.2,Roman Polanski,92,1974,2h 10m
51. Rear Window,,Alfred Hitchcock,100,1954,1h 52m
69. Inglourious Basterds,8.4,Quentin Tarantino,69,2009,2h 33m
216. Platoon,8.1,Oliver Stone,92,1986,N/A
242. The Iron Giant,8.1,Brad Bird,85,1999,1h 26m
87. Singin' in the Rain,8.3,Stanley Donen,99,1952,1h 43m
142. El laberinto del fauno,8.2,Guillermo del Toro,98,2006,1h 58m
8. Pulp Fiction,8.9,Quentin Tarantino,95,1994,2h 34m
23. The Silence of the Lambs,8.6,Jonathan Demme,86,1991,1h 58m
2. The Godfather,9.2,Francis Ford Coppola,100,1972,2h 55m
210. Ratatouille,8.1,Brad Bird,96,2007,1h 51m
217. La passion de Jeanne d'Arc,,Carl Theodor Dreyer,98,1928,1h 50m
142. El laberinto del fauno,,Guillermo del Toro,98,2006,1h 58m
116. Indiana Jones and the Last Crusade,8.2,Steven Spielberg,65,1989,2h 7m
122. Ladri di biciclette,8.3,Vittorio De Sica,N/A,1948,1h 29m
31. Back to the Future,8.5,Robert Zemeckis,87,1985,1h 56m
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,Stanley Kubrick,97,1964,1h 35m
