Rank,IMDB Rating,Director,Metascore,Release Year,Duration,Title,IMDB Rating scaled up,Movie Age
115,8.3,Asghar Farhadi,95,2011,2.05,Jodaeiye Nader az Simin,83,12
116,8.2,Steven Spielberg,65,1989,2.1166666666666667,Indiana Jones and the Last Crusade,82,34
117,8.3,Fritz Lang,98,1927,2.55,Metropolis,83,96
118,8.2,John McTiernan,72,1988,2.2,Die Hard,82,35
119,8.3,Aamir Khan,83,2007,2.7,Taare Zameen Par,83,16
120,8.2,Guy Ritchie,55,2000,1.7333333333333334,Snatch,82,23
121,8.2,Curtis Hanson,91,1997,2.3,L.A. Confidential,82,26
122,8.3,Vittorio De Sica,83,1948,1.4833333333333334,Ladri di biciclette,83,75
123,8.2,Sam Mendes,78,2019,1.9833333333333334,1917,82,4
124,8.2,Martin Scorsese,94,1976,1.9,Taxi Driver,82,47
125,8.3,Oliver Hirschbiegel,82,2004,2.6,Der Untergang,83,19
126,8.3,Nitesh Tiwari,83,2016,2.6833333333333336,Dangal,83,7
127,8.2,Sergio Leone,74,1965,2.2,Per qualche dollaro in più,82,58
128,8.2,Christopher Nolan,70,2005,2.3333333333333335,Batman Begins,82,18
129,8.3,Joseph Kosinski,78,2022,2.1666666666666665,Top Gun: Maverick,83,1
130,8.2,Billy Wilder,98,1959,2.0166666666666666,Some Like It Hot,82,64
131,8.2,Charles Chaplin,82,1921,1.1333333333333333,The Kid,82,102
132,8.2,Martin Scorsese,75,2013,2.1463999999999994,The Wolf of Wall Street,82,10
133,8.2,Florian Zeller,88,2020,1.6166666666666667,The Father,82,3
134,8.2,Peter Farrelly,69,2018,2.1666666666666665,Green Book,82,5
135,8.2,Joseph L. Mankiewicz,98,1950,2.3,All About Eve,82,73
136,8.3,Stanley Kramer,60,1961,2.9833333333333334,Judgment at Nuremberg,83,62
137,8.2,Peter Weir,90,1998,1.7166666666666668,The Truman Show,82,25
138,8.2,Paul Thomas Anderson,93,2007,2.6333333333333333,There Will Be Blood,82,16
139,8.2,Martin Scorsese,73,1995,2.966666666666667,Casino,82,28
140,8.2,Martin Scorsese,63,2010,2.3,Shutter Island,82,13
141,8.2,Akira Kurosawa,97,1985,2.6666666666666665,Ran,82,38
142,8.2,Guillermo del Toro,98,2006,1.9666666666666668,El laberinto del fauno,82,17
143,8.2,Steven Spielberg,68,1993,2.1166666666666667,Jurassic Park,82,30
144,8.2,M. Night Shyamalan,64,1999,1.7833333333333332,The Sixth Sense,82,24
145,8.2,Clint Eastwood,85,1992,2.1666666666666665,Unforgiven,82,31
146,8.2,Ron Howard,72,2001,2.25,A Beautiful Mind,82,22
147,8.2,Ethan Coen,92,2007,2.033333333333333,No Country for Old Men,82,16
148,8.2,John Huston,98,1948,2.1,The Treasure of the Sierra Madre,82,75
149,8.2,Akira Kurosawa,93,1961,1.8333333333333335,Yôjinbô,82,62
150,8.2,Quentin Tarantino,69,2003,1.85,Kill Bill: Vol. 1,82,20
151,8.2,John Carpenter,57,1982,1.8166666666666667,The Thing,82,41
152,8.2,Terry Gilliam,91,1975,1.5166666666666666,Monty Python and the Holy Grail,82,48
153,8.2,John Sturges,86,1963,2.8666666666666667,The Great Escape,82,60
154,8.2,Andrew Stanton,90,2003,1.6666666666666665,Finding Nemo,82,20
155,8.2,Akira Kurosawa,98,1950,1.4666666666666668,Rashômon,82,73
156,8.2,David Lynch,78,1980,2.066666666666667,The Elephant Man,82,43
157,8.2,Roman Polanski,92,1974,2.1666666666666665,Chinatown,82,49
158,8.2,Hayao Miyazaki,82,2004,1.9833333333333334,Hauru no ugoku shiro,82,19
159,8.1,Alfred Hitchcock,75,1954,1.75,Dial M for Murder,81,69
160,8.1,Victor Fleming,97,1939,3.966666666666667,Gone with the Wind,81,84
161,8.1,Denis Villeneuve,70,2013,2.55,Prisoners,81,10
162,8.2,James McTeigue,62,2005,2.2,V for Vendetta,82,18
